110-240V or 125/250V 50/60Hz,Your item is rated for a world-wide voltage range and doesn't require a voltage converter. You may use it internationally with an appropriate travel plug adapter.,https://www.bombayelectronics.com/collections/worldwide-adapter-plugs
120V 60 Hz or 110-125V 60 Hz , 0 – 200 Watts,litefuze-300w-110v-to-220v-220v-to-110v-voltage-converter
120V 60 Hz or 110-125V 60 Hz , 201 – 300 Watts,litefuze-500w-110v-to-220v-220v-to-110v-voltage-converter
120V 60 Hz or 110-125V 60 Hz , 301 – 500 Watts,litefuze-750w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
120V 60 Hz or 110-125V 60 Hz , 501 – 700 Watts,litefuze-1000w-110-to-220-220-to-110-power-transformer-1 litefuze-1000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
120V 60 Hz or 110-125V 60 Hz , 701 – 1000 Watts,litefuze-1500w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord litefuze-1500w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
120V 60 Hz or 110-125V 60 Hz , 1001 – 1300 Watts,litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-2
120V 60 Hz or 110-125V 60 Hz , 1301 – 2000 Watts,litefuze-3000w-110v-to-220v-220v-to-110v-voltage-converter  litefuze-3000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord
120V 60 Hz or 110-125V 60 Hz , 2001 – 3000 Watts,litefuze-5000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord  litefuze-5000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
120V 60 Hz or 110-125V 60 Hz , More than 3000 Watts,litefuze-8000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord  litefuze-10000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output litefuze-15000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output litefuze-20000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, 0 – 200 Watts,litefuze-300w-110v-to-220v-220v-to-110v-voltage-converter
230V 50Hz Or 220-240V 50Hz, 201 – 300 Watts,litefuze-500w-110v-to-220v-220v-to-110v-voltage-converter
230V 50Hz Or 220-240V 50Hz, 301 – 500 Watts,litefuze-750w-110v-to-220v-step-up-voltage-converter
230V 50Hz Or 220-240V 50Hz, 501 – 700 Watts,litefuze-1000w-110v-to-220v-step-up-voltage-converter litefuze-1000w-110-to-220-220-to-110-power-transformer-1 litefuze-1000w-110-to-220-220-to-110-power-transformer-2 litefuze-1000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, 701 – 1000 Watts,litefuze-1500w-110v-to-220v-step-up-voltage-converter  litefuze-1500w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord  litefuze-1500w-110v-to-220v-220v-to-110v-voltage-converter litefuze-1500w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, 1001 – 1300 Watts,litefuze-2000w-110v-to-220v-step-up-voltage-converter litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-1 litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-2  litefuze-2000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, 1301 – 2000 Watts,litefuze-3000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord litefuze-3000w-110v-to-220v-220v-to-110v-voltage-converter litefuze-3000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, 2001 – 3000 Watts,litefuze-5000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord litefuze-5000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output
230V 50Hz Or 220-240V 50Hz, More than 3000 Watts,litefuze-8000w-110v-to-220v-220v-to-110v-voltage-converter-detachable-cord  litefuze-10000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output litefuze-15000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output litefuze-20000w-110v-to-220v-220v-to-110v-voltage-converter-universal-output lt-8000
